"X","Y","OBJECTID","CreationDate","Creator","EditDate","Editor","GlobalID","AreaID","UNIT_CODE","Park Name","DATE_EDIT","State","REGION","GNIS_ID","UNIT_TYPE","CREATED_BY","PARKNAME"
" -9281409.03","5147909.2205","         253","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","5500a63c-3387-4928-9ea3-4319ad8fd31a","         262","RIRA","River Raisin National Battlefield Park","2018/02/27 00:00:00+00","MI","MW","2733434","National Battlefield Park","Lands","River Raisin"
"-10667985.93","4962922.4366","         254","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2108596e-5a0e-4734-b4b7-16c76ac07be7","         263","LECL","Lewis and Clark National Historic Trail","2017/01/13 00:00:00+00","IL","MW","2733427","National Trails Syste","Lands","Lewis and Clark"
"-9960888.458","5136479.8082","         255","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","f8214714-d614-4a9d-bbb1-2347730671e1","         264","RRBH","Ronald Reagan Boyhood Home National Historic Site","2013/01/03 00:00:00+00","IL","MW","2733441","National Historic Site","Lands","Ronald Reagan Boyhood Home"
"-9684444.565","4596219.1715","         256","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","e58dc3fa-4c5e-465f-b96d-ec7bc8351c9a","         265","LIBO","Lincoln Boyhood National Memorial","2016/03/03 00:00:00+00","IN","MW","446882","National Memorial","Lands","Lincoln Boyhood"
"-10038280.83","4667878.1913","         257","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","d0f0d64c-6b15-4673-83a4-6dd34f5fbc8a","         266","JEFF","Gateway Arch National Park","2010/10/28 00:00:00+00","IL","MW","765817","National Park","Lands","Gateway Arch"
"-9744403.067","4675797.5034","         258","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","66674189-d536-47b3-91b9-a4e3ed873290","         267","GERO","George Rogers Clark National Historical Park","2010/08/18 00:00:00+00","IN","MW","447197","National Historical Park","Lands","George Rogers Clark"
"-9979251.086","4836510.2248","         259","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","f6b1d1f3-d116-4975-a375-2c707fdbe965","         268","LIHO","Lincoln Home National Historic Site","2017/06/06 00:00:00+00","IL","MW","1821086","National Historic Site","Lands","Lincoln Home"
"-10166148.38","4472947.7436","         260","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","18d547a4-ce61-42e3-a0a1-02d3ca5574fc","         269","OZAR","Ozark National Scenic Riverways","2022/08/26 09:55:50+00","MO","MW","751466","National River","Lands","Ozark"
"-11544620.11"," 5136293.777","         261","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","f071bdfb-43d6-4422-bd2a-09b1a31e5f79","         270","SCBL","Scotts Bluff National Monument","2012/08/13 00:00:00+00","NE","MW","833315","National Monument","Lands","Scotts Bluff"
"-11550417.19","5224436.2918","         262","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","11a7d32c-a6cb-430a-af96-d9b68f671c47","         271","AGFO","Agate Fossil Beds National Monument","2012/11/27 00:00:00+00","NE","MW","826917","National Monument","Lands","Agate Fossil Beds"
"-8573693.043","4705518.7446","         430","2023/01/03 09:21:37+00","NPS_WASO_LANDS","2023/01/03 09:21:37+00","NPS_WASO_LANDS","c5b3e423-2e2b-43e5-a7fb-3a26312ca4fb","         459","DDEM","Dwight D. Eisenhower Memorial","2020/09/29 00:00:00+00","DC","NC","need GNIS ID","National Memorial","Lands","Dwight D. Eisenhower"
"-9254551.002","4761689.1343","         263","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","110c7be2-337d-4e83-bbe7-220b6a727b4c","         272","HOCU","Hopewell Culture National Historical Park","2019/07/10 00:00:00+00","OH","MW","1888931","National Historical Park","Lands","Hopewell Culture"
"-9218367.904"," 5109426.835","         264","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","00b9c111-70b2-4930-919a-26a535fa1cb1","         273","PEVI","Perry's Victory and International Peace Memorial","2010/09/01 00:00:00+00","OH","MW","1082175","National Memorial","Lands","Perry's Victory & International Peace"
"-9407364.261","4738838.1128","         265","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","cee59128-7192-439f-8bcd-985621d067b9","         274","WIHO","William Howard Taft National Historic Site","2019/08/23 00:00:00+00","OH","MW","1888973","National Historic Site","Lands","William Howard Taft"
"-10722822.18","5467611.9136","         266","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","84936ef5-645d-4541-972c-ea06db97f1de","         275","PIPE","Pipestone National Monument","2022/08/30 12:32:54+00","MN","MW","649530","National Monument","Lands","Pipestone"
